match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,prop_id,under_prop_id,agency,opposition_team
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,9.5,1.6,NA,572380,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,14.5,3,NA,572437,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,19.5,7,NA,572499,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Admiral Schofield,Cairns Taipans,4.5,1.05,NA,572321,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,9.5,1.15,NA,572384,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,14.5,1.75,NA,572441,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,19.5,3.5,NA,572503,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,24.5,9,NA,572567,NA,TAB,Perth Wildcats
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Andrew Andrews,Cairns Taipans,29.5,17,NA,572950,NA,TAB,Perth Wildcats
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Ben Ayre,Tasmania JackJumpers,9.5,3,NA,570344,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Ben Ayre,Tasmania JackJumpers,14.5,9,NA,570383,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Ben Ayre,Tasmania JackJumpers,4.5,1.3,NA,570206,NA,TAB,Sydney Kings
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Ben Henshall,Perth Wildcats,9.5,1.5,NA,572356,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Ben Henshall,Perth Wildcats,14.5,3.25,NA,572414,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Ben Henshall,Perth Wildcats,19.5,9,NA,572473,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Ben Henshall,Perth Wildcats,4.5,1.05,NA,572271,NA,TAB,Cairns Taipans
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Bryce Hamilton,Tasmania JackJumpers,9.5,1.05,NA,570349,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Bryce Hamilton,Tasmania JackJumpers,14.5,1.35,NA,570384,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Bryce Hamilton,Tasmania JackJumpers,19.5,2.25,NA,570400,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Bryce Hamilton,Tasmania JackJumpers,24.5,4.5,NA,570462,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,Bryce Hamilton,Tasmania JackJumpers,29.5,9,NA,570482,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,David Johnson,Tasmania JackJumpers,9.5,1.5,NA,570356,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,David Johnson,Tasmania JackJumpers,14.5,3,NA,570385,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,David Johnson,Tasmania JackJumpers,19.5,9,NA,570401,NA,TAB,Sydney Kings
Sydney Kings v Tasmania JackJumpers,Sydney Kings,Tasmania JackJumpers,Player Points,David Johnson,Tasmania JackJumpers,4.5,1.05,NA,570220,NA,TAB,Sydney Kings
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Dylan Windler,Perth Wildcats,9.5,1.2,NA,572363,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Dylan Windler,Perth Wildcats,14.5,1.8,NA,572419,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Dylan Windler,Perth Wildcats,19.5,4,NA,572480,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Dylan Windler,Perth Wildcats,24.5,9,NA,572538,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Elijah Pepper,Perth Wildcats,9.5,1.4,NA,572367,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Elijah Pepper,Perth Wildcats,14.5,2.5,NA,572421,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Elijah Pepper,Perth Wildcats,19.5,6,NA,572482,NA,TAB,Cairns Taipans
Perth Wildcats v Cairns Taipans,Perth Wildcats,Cairns Taipans,Player Points,Elijah Pepper,Perth Wildcats,4.5,1.05,NA,572281,NA,TAB,Cairns Taipans
