match,home_team,away_team,market_name,line,over_price,under_price,agency
Adelaide 36ers v Brisbane Bullets,Adelaide 36ers,Brisbane Bullets,Total Match Points,188.5,1.43,2.72,TopSport
Adelaide 36ers v Brisbane Bullets,Adelaide 36ers,Brisbane Bullets,Total Match Points,193.5,1.74,2.04,TopSport
Adelaide 36ers v Brisbane Bullets,Adelaide 36ers,Brisbane Bullets,Total Match Points,198.5,2.25,1.61,TopSport
Perth Wildcats v South East Melbourne Phoenix,Perth Wildcats,South East Melbourne Phoenix,Total Match Points,197.5,1.4,2.82,TopSport
Perth Wildcats v South East Melbourne Phoenix,Perth Wildcats,South East Melbourne Phoenix,Total Match Points,202.5,1.68,2.1,TopSport
Perth Wildcats v South East Melbourne Phoenix,Perth Wildcats,South East Melbourne Phoenix,Total Match Points,207.5,2.16,1.65,TopSport
New Zealand Breakers v Cairns Taipans,New Zealand Breakers,Cairns Taipans,Total Match Points,173.5,1.55,2.3,TopSport
New Zealand Breakers v Cairns Taipans,New Zealand Breakers,Cairns Taipans,Total Match Points,178.5,1.93,1.78,TopSport
New Zealand Breakers v Cairns Taipans,New Zealand Breakers,Cairns Taipans,Total Match Points,183.5,2.56,1.45,TopSport
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Total Match Points,175.5,1.56,2.25,TopSport
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Total Match Points,180.5,1.96,1.74,TopSport
Melbourne United v Tasmania JackJumpers,Melbourne United,Tasmania JackJumpers,Total Match Points,185.5,2.6,1.43,TopSport
